t,angle,setpoint,sp_goal,dq,a_hat,tau_dyn,tau_cmd,tau_load,tau_f_exp,bias_u,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk_act,risk_err,risk,J_est,D_est,b0,b1,b2,b3,b4
0.0,0.0,0.0010471975511965978,0.6981317007977318,0.0,0.0,0.0,0.2220163528291907,0.0,0.0,1.0471975511965979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.005,6.93801102591221e-05,0.0020943951023931957,0.6981317007977318,0.013876022051824418,0.5550408820729767,0.05550408820729768,0.21989439021853735,0.0,0.0,3.0722125433306714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.01,-0.000704718271200802,0.0031415926535897937,0.6981317007977318,-0.15481967629198481,-6.303795228093987,-0.6281593592811069,0.41048410286347276,0.0,0.0,6.918523468121268e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.015,-0.0007630837862681326,0.004188790204786391,0.6981317007977318,-0.011673103013466135,0.6828267486655566,0.04528765748247162,0.28065380512003174,0.0,0.0,0.00011870397459175791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.02,0.00018795536685293351,0.005235987755982989,0.6981317007977318,0.19020783062421323,8.62149874443962,0.8418861640545403,0.07997725258315005,0.0,0.0,0.00016918429848305849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.025,0.0005690668683321769,0.006283185307179587,0.6981317007977318,0.07622230029584867,2.337777782417114,0.24800006283004808,0.20201295669251132,0.0,0.0,0.00022632548287153257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,0.00040764571103100555,0.007330382858376184,0.6981317007977318,-0.03228423146023428,-2.470039044309627,-0.22343050871295758,0.325092140322041,0.0,0.0,0.00029555285434498433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.035,0.001159145403156898,0.008377580409572783,0.6981317007977318,0.15029993842517847,5.327335559968809,0.5464267955376475,0.14612852909554086,0.0,0.0,0.0003677372044091432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.04,0.001368771042824147,0.009424777960769381,0.6981317007977318,0.041925127933449796,-0.07312397169410012,0.02769018461123183,0.2646347625948012,0.0,0.0,0.0004482972735885955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.045,0.0009067649458735765,0.01047197551196598,0.6981317007977318,-0.09240121939011409,-5.431553070297835,-0.5084452211359181,0.417167205801792,0.0,0.0,0.0005439493792495195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.049999999999999996,0.0011555585127667365,0.011519173063162578,0.6981317007977318,0.049758713378632,1.3411548545115748,0.1470993590638316,0.28469175699019117,0.0,0.0,0.000647585524753478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.05499999999999999,0.0007858770726421683,0.012566370614359177,0.6981317007977318,-0.07393628802491366,-3.8748761725325664,-0.36913912422253625,0.42550711122500795,0.0,0.0,0.000765390460170648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.05999999999999999,0.001156327818966602,0.013613568165555775,0.6981317007977318,0.07409014926488673,2.821156553565963,0.28496464369718644,0.28572620799713944,0.0,0.0,0.0008899628636365398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.06499999999999999,0.0010041678751815336,0.014660765716752374,0.6981317007977318,-0.03043198875701368,-1.9239602780232463,-0.17826241324747066,0.40477720193723554,0.0,0.0,0.001026528842052248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.06999999999999999,0.0018000466427497636,0.01570796326794897,0.6981317007977318,0.159175753513646,6.04514146840779,0.6109519202835401,0.2183243642363683,0.0,0.0,0.0011656080083042402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.075,0.002072742306813119,0.01675516081914557,0.6981317007977318,0.05453913281267103,0.6506483466872348,0.09568317398511561,0.3324018317680655,0.0,0.0,0.0013124321934275646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.08,0.0017645035594845387,0.017802358370342167,0.6981317007977318,-0.06164774946571608,-4.126956613785697,-0.37947472867542864,0.4650143281768634,0.0,0.0,0.0014728107415361408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.085,0.002244656116158263,0.018849555921538766,0.6981317007977318,0.09603051133474486,3.00556514098988,0.3172696203469863,0.3143066563087307,0.0,0.0,0.0016388597395899458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.09000000000000001,0.0022364878795437535,0.019896753472735364,0.6981317007977318,-0.00163364732290186,-1.5021142335139643,-0.12147605653943863,0.4248118070760426,0.0,0.0,0.001815462395521862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.09500000000000001,0.003223893004907527,0.020943951023931963,0.6981317007977318,0.19748102507275467,6.76289550901509,0.6990164607794109,0.22659184437057023,0.0,0.0,0.0019926629757121062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.10000000000000002,0.003677400568352222,0.02199114857512856,0.6981317007977318,0.09070151268893904,1.139135911859447,0.16369208309990702,0.3406787740874765,0.0,0.0,0.00217580045577987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.10500000000000002,0.0036436254591718487,0.02303834612632516,0.6981317007977318,-0.006755021836074668,-2.9869526515129907,-0.244360229589899,0.4513009277436854,0.0,0.0,0.002369747662451403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.11000000000000003,0.004673439299587904,0.02408554367752176,0.6981317007977318,0.205962768083211,6.119149475561036,0.6543021725114517,0.23898586339754554,0.0,0.0,0.0025638687062307414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.11500000000000003,0.005167304343023021,0.025132741228718357,0.6981317007977318,0.09877300868702345,0.6077292046013261,0.12763674331772484,0.35301526725572785,0.0,0.0,0.0027635230750876947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.12000000000000004,0.0051784687001175354,0.026179938779914955,0.6981317007977318,0.0022328714189029514,-3.375422127043759,-0.26824747302837837,0.46219781755387135,0.0,0.0,0.0029735377758856687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.12500000000000003,0.004404491215590188,0.027227136331111554,0.6981317007977318,-0.1547954969054695,-8.981472434609906,-0.842354192293168,0.6413085127580863,0.0,0.0,0.0032017642270408824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
